"","ID","Name","Nationality","Club_Joining","Contract_Expiry","Rating","Height","Preffered_Foot","Birth_Date","Age","Work_Rate","Weight"
"1370",1370,"Harun Tekin","Turkey",2010-06-28,2020,76,187,"Right",1989-06-17,27,"Medium / Medium",78
"1371",1371,"Ibai Gómez","Spain",2016-07-30,2019,76,177,"Right",1989-11-11,27,"High / Medium",72
"1372",1372,"Nicolas Pallois","France",2014-06-17,2018,76,190,"Left",1987-09-19,29,"Medium / High",89
"1373",1373,"Timm Klose","Switzerland",2016-01-18,2019,76,193,"Right",1988-05-09,28,"Medium / High",87
"1374",1374,"Sergio León","Spain",2016-08-24,2020,76,178,"Right",1989-01-06,27,"High / Medium",73
"1375",1375,"Bibras Natcho","Israel",2014-08-09,2018,76,176,"Right",1988-02-18,28,"Medium / Medium",77
"1376",1376,"Raúl Navas","Spain",2015-06-04,2018,76,185,"Right",1988-06-11,28,"Medium / Medium",83
"1377",1377,"Óscar Murillo","Colombia",2016-01-01,2021,76,183,"Left",1988-04-18,28,"Medium / High",79
"1378",1378,"Josip Drmic","Switzerland",2015-07-01,2019,76,183,"Right",1992-08-08,24,"Medium / Medium",81
"1379",1379,"Tomás Pina","Spain",2016-07-05,2020,75,185,"Right",1987-10-14,29,"Medium / High",75
"1380",1380,"Billy Ketkeophomphone","France",2015-06-16,2019,76,180,"Right",1990-03-24,26,"Medium / Medium",71
"1381",1381,"Philipp Wollscheid","Germany",2015-07-01,2018,76,194,"Right",1989-03-06,27,"Medium / Medium",88
"1382",1382,"Celso Ortíz","Paraguay",2016-07-01,2018,76,175,"Left",1989-01-26,27,"Medium / High",70
"1383",1383,"Jonas Martin","France",2016-07-01,2019,76,184,"Right",1990-04-09,26,"High / Medium",76
"1384",1384,"Jordan Ayew","Ghana",2017-01-31,2020,76,182,"Right",1991-09-11,25,"High / Medium",81
"1385",1385,"Felix Wiedwald","Germany",2015-07-01,2017,76,190,"Right",1990-03-15,26,"Medium / Medium",82
"1386",1386,"Khouma Babacar","Senegal",2010-01-14,2019,76,185,"Right",1993-03-17,23,"Medium / Medium",76
"1387",1387,"Adrien Regattin","Morocco",2016-08-31,2017,76,166,"Right",1991-08-22,25,"High / Medium",66
"1388",1388,"Callum Wilson","England",2014-07-04,2020,76,180,"Right",1992-02-27,24,"High / Medium",66
"1389",1389,"Simone Verdi","Italy",2016-07-11,2020,76,171,"Left",1992-07-12,24,"High / Medium",61
"1390",1390,"Yonathan Del Valle","Venezuela",2013-07-01,2018,76,173,"Right",1990-05-28,26,"High / Medium",75
"1391",1391,"Macnelly Torres","Colombia",2015-06-30,2018,76,175,"Right",1984-11-01,32,"Medium / Medium",72
"1392",1392,"Esteban Paredes","Chile",2014-01-11,2017,76,178,"Left",1980-08-01,36,"High / Low",82
"1393",1393,"Joel Robles","Spain",2013-07-09,2018,76,195,"Right",1990-06-17,26,"Medium / Medium",90
"1394",1394,"Alfreð Finnbogason","Iceland",2014-07-02,2018,76,185,"Right",1989-02-01,27,"Medium / Medium",78
"1395",1395,"Tom Cairney","Scotland",2015-06-26,2019,76,183,"Left",1991-01-20,25,"High / Medium",72
"1396",1396,"Aaron Mooy","Australia",2016-06-30,2019,76,174,"Right",1990-09-15,26,"Medium / Medium",68
"1397",1397,"Jagoš Vukovic","Serbia",2014-01-07,2019,76,194,"Left",1988-06-10,28,"Medium / Medium",82
"1398",1398,"Laguardia","Spain",2014-07-11,2020,76,185,"Right",1989-11-05,27,"Medium / High",75
"1399",1399,"Nenad Tomovic","Serbia",2012-08-31,2020,76,184,"Right",1987-08-30,29,"High / Medium",79
"1400",1400,"Pontus Jansson","Sweden",2014-07-01,2018,76,196,"Right",1991-02-13,25,"Medium / Medium",89
"1401",1401,"Andre Gray","England",2015-08-21,2018,76,180,"Right",1991-06-26,25,"High / Medium",78
"1402",1402,"André Almeida","Portugal",2011-07-01,2019,76,186,"Right",1990-09-10,26,"Medium / High",80
"1403",1403,"Roger","Brazil",2012-08-29,2017,76,184,"Right",1985-08-10,31,"Low / High",86
"1404",1404,"Francesco Bardi","Italy",2011-01-01,2017,76,188,"Right",1992-01-18,24,"Medium / Medium",80
"1405",1405,"Guido Burgstaller","Austria",2017-01-12,2020,76,187,"Right",1989-04-29,27,"High / High",80
"1406",1406,"Diafra Sakho","Senegal",2014-08-14,2018,76,184,"Right",1989-12-24,27,"High / Medium",79
"1407",1407,"Pape Souaré","Senegal",2015-02-02,2021,76,178,"Left",1990-06-06,26,"High / Medium",68
"1408",1408,"Manuel Schmiedebach","Germany",2009-07-01,2020,76,171,"Right",1988-12-05,28,"High / High",70
"1409",1409,"Iago Herrerín","Spain",2012-07-01,2019,76,187,"Right",1988-01-25,28,"Medium / Medium",89
"1410",1410,"Christian Clemens","Germany",2017-01-01,2021,76,179,"Right",1991-08-04,25,"Medium / Medium",80
"1411",1411,"Marc Muniesa","Spain",2013-07-02,2019,76,179,"Left",1992-03-27,24,"Medium / Medium",72
"1412",1412,"Maxime Le Marchand","France",2015-07-10,2018,76,185,"Left",1989-11-10,27,"Medium / High",77
"1413",1413,"Sebastian Jung","Germany",2014-07-01,2018,76,179,"Right",1990-06-22,26,"High / Medium",72
"1414",1414,"Maxime Lestienne","Belgium",2016-07-05,2020,76,176,"Left",1992-06-17,24,"High / Medium",63
"1415",1415,"Luciano Narsingh","Netherlands",2017-01-12,2019,76,175,"Right",1990-09-13,26,"Medium / Low",75
"1416",1416,"Javier Aquino","Mexico",2015-06-22,2021,76,168,"Right",1990-02-11,26,"High / Medium",62
"1417",1417,"Georgiy Schennikov","Russia",2008-01-01,2017,76,180,"Left",1991-04-27,25,"Medium / Medium",75
"1418",1418,"Alexandr Kokorin","Russia",2016-01-30,2019,76,183,"Right",1991-03-19,25,"Medium / Low",79
"1419",1419,"Pedro Morales","Chile",2017-01-16,2017,76,180,"Right",1985-05-25,31,"Medium / Medium",77
"1420",1420,"Peter Pekarík","Slovakia",2012-08-31,2018,76,176,"Right",1986-10-30,30,"Medium / Medium",70
"1421",1421,"Sandro","Brazil",2017-01-10,2020,76,187,"Right",1989-03-15,27,"Medium / Medium",75
"1422",1422,"Pascal Groß","Germany",2012-07-01,2019,76,181,"Right",1991-06-15,25,"High / Medium",76
"1423",1423,"Xandão","Brazil",2016-08-17,2019,76,194,"Right",1988-02-23,28,"Medium / Medium",84
"1424",1424,"Benjamin André","France",2014-06-24,2018,76,180,"Right",1990-08-03,26,"High / Medium",76
"1425",1425,"Dominic Maroh","Slovenia",2012-07-01,2018,76,186,"Right",1987-03-04,29,"Medium / Medium",85
"1426",1426,"Léonard Kweuke","Cameroon",2013-07-10,2022,76,188,"Right",1987-07-12,29,"High / Low",94
"1427",1427,"Matías Caruzzo","Argentina",2015-01-16,2018,76,185,"Right",1984-08-15,32,"Low / Medium",80
"1428",1428,"Markus Henriksen","Norway",2017-01-01,2019,76,187,"Right",1992-07-25,24,"High / High",80
"1429",1429,"Tony Jantschke","Germany",2009-07-01,2018,76,177,"Right",1990-04-07,26,"Medium / Medium",76
"1430",1430,"Grégory Sertic","France",2017-01-31,2020,76,183,"Right",1989-08-05,27,"High / Medium",80
"1431",1431,"Christian Kabasele","Belgium",2016-07-01,2021,76,187,"Right",1991-02-24,25,"Medium / High",84
"1432",1432,"Lukasz Skorupski","Poland",2013-07-12,2021,76,187,"Right",1991-05-05,25,"Medium / Medium",84
"1433",1433,"Aaron Cresswell","England",2014-07-03,2021,76,170,"Left",1989-12-15,27,"High / Medium",66
"1434",1434,"Davide Santon","Italy",2015-07-01,2018,76,186,"Right",1991-01-02,25,"High / Medium",83
"1435",1435,"Danny Latza","Germany",2015-07-01,2019,76,179,"Right",1989-12-07,27,"High / High",76
"1436",1436,"Alex Mccarthy","England",2016-08-02,2019,76,193,"Right",1989-12-03,27,"Medium / Medium",79
"1437",1437,"Bruno Fornaroli","Uruguay",2015-08-11,2019,76,174,"Right",1987-09-07,29,"High / Medium",68
"1438",1438,"Jimmy Durmaz","Sweden",2016-08-20,2019,76,180,"Left",1989-03-22,27,"High / Medium",69
"1439",1439,"Volkan Sen","Turkey",2015-08-14,2018,76,175,"Right",1987-07-07,29,"High / Medium",68
"1440",1440,"Jonathan Kodjia","Ivory Coast",2016-08-30,2020,76,189,"Right",1989-10-22,27,"High / Low",77
"1441",1441,"Miguel Angel Britos","Uruguay",2015-07-22,2018,76,188,"Left",1985-07-17,31,"Medium / Medium",82
"1442",1442,"Michel Macedo","Brazil",2016-07-15,2018,76,176,"Right",1990-02-15,26,"High / Medium",70
"1443",1443,"Serey Dié","Ivory Coast",2016-07-15,2018,76,179,"Right",1984-11-07,32,"Medium / High",77
"1444",1444,"Sofiane Hanni","Algeria",2016-07-01,2020,76,178,"Right",1990-12-29,26,"High / Medium",68
"1445",1445,"Riccardo Meggiorini","Italy",2014-07-02,2019,76,182,"Left",1985-09-04,31,"Medium / Medium",78
"1446",1446,"Oupa Manyisa","South Africa",2007-06-01,2018,76,166,"Right",1988-07-30,28,"High / High",67
"1447",1447,"Cheick Diabaté","Mali",2016-07-01,2019,76,194,"Right",1988-04-25,28,"Medium / Low",88
"1448",1448,"Aatif Chahechouhe","Morocco",2016-04-07,2019,76,176,"Right",1986-07-02,30,"High / Medium",68
"1449",1449,"Paul-José Mpoku","Dr Congo",2016-08-09,2019,76,177,"Right",1992-04-19,24,"Medium / Low",80
"1450",1450,"Dmitriy Tarasov","Russia",2010-01-01,2018,76,192,"Right",1987-03-18,29,"Medium / Medium",84
"1451",1451,"Siem De Jong","Netherlands",2014-07-01,2020,76,185,"Right",1989-01-28,27,"High / Medium",80
"1452",1452,"Franco Di Santo","Argentina",2015-07-26,2019,76,193,"Right",1989-04-07,27,"High / Medium",88
"1453",1453,"Matt Ritchie","Scotland",2016-07-01,2021,76,173,"Left",1989-09-10,27,"High / Medium",71
"1454",1454,"Fabio Borini","Italy",2015-08-31,2019,76,180,"Right",1991-03-23,25,"High / Medium",74
"1455",1455,"Gaël Kakuta","France",2016-02-05,2019,76,173,"Left",1991-06-21,25,"Medium / Medium",64
"1456",1456,"Diego Ângelo","Brazil",2015-08-13,2019,76,192,"Left",1986-02-17,30,"Medium / Medium",84
"1457",1457,"Andrea Poli","Italy",2013-07-11,2017,76,181,"Right",1989-09-29,27,"Medium / Medium",70
"1458",1458,"Michal Pazdan","Poland",2015-07-01,2019,76,181,"Left",1987-09-21,29,"Medium / High",78
"1459",1459,"Maurício Na","Brazil",2016-01-17,2019,76,180,"Right",1988-10-21,28,"High / Medium",72
"1460",1460,"Marcelo Larrondo","Chile",2016-07-22,2020,76,191,"Right",1988-08-16,28,"High / Low",83
"1461",1461,"Michael Lang","Switzerland",2015-06-21,2019,76,185,"Right",1991-02-08,25,"High / Medium",79
"1462",1462,"Jonathan Biabiany","France",2015-07-10,2019,76,177,"Right",1988-04-28,28,"High / Low",73
"1463",1463,"Kolbeinn Sigþórsson","Iceland",2015-07-02,2020,76,186,"Right",1990-03-14,26,"High / Medium",80
"1464",1464,"Lamine Koné","Ivory Coast",2016-01-27,2021,76,186,"Right",1989-02-01,27,"Medium / Medium",83
"1465",1465,"Gregory Van Der Wiel","Netherlands",2016-07-04,2020,76,183,"Right",1988-02-03,28,"Medium / Medium",69
"1466",1466,"Maxi Moralez","Argentina",2017-02-15,2020,76,158,"Right",1987-02-27,29,"High / Medium",56
"1467",1467,"Gabriel Mercado","Argentina",2016-08-09,2020,76,180,"Right",1987-03-18,29,"Medium / Medium",83
"1468",1468,"Siphiwe Tshabalala","South Africa",2007-01-01,2019,76,170,"Left",1984-09-25,32,"High / Medium",65
"1469",1469,"Anthony Mounier","France",2015-08-29,2018,76,174,"Left",1987-09-27,29,"High / Medium",65
"1470",1470,"Gottardi","Brazil",2016-07-31,2019,76,193,"Right",1985-10-18,31,"Medium / Medium",82
"1471",1471,"Simon Terodde","Germany",2016-07-01,2019,76,192,"Right",1988-03-02,28,"Medium / Medium",83
"1472",1472,"Nils Petersen","Germany",2015-07-01,2019,76,188,"Right",1988-12-06,28,"Medium / Medium",85
"1473",1473,"Giovanni Sio","Ivory Coast",2015-07-01,2018,76,180,"Left",1989-03-31,27,"High / Low",70
"1474",1474,"Fabian Frei","Switzerland",2015-07-01,2019,76,183,"Right",1989-01-08,27,"Medium / Medium",77
"1475",1475,"Fin Bartels","Germany",2014-07-01,2019,76,176,"Right",1987-02-07,29,"High / Medium",69
"1476",1476,"Marc Albrighton","England",2014-07-01,2020,77,174,"Right",1989-11-18,27,"High / High",67
"1477",1477,"Ciaran Clark","Republic Of Ireland",2016-08-03,2021,76,188,"Left",1989-09-26,27,"Medium / Medium",76
"1478",1478,"Mërgim Mavraj","Albania",2017-01-01,2019,76,189,"Left",1986-06-09,30,"Medium / Medium",84
"1479",1479,"Sebastian De Maio","France",2016-07-06,2020,76,190,"Right",1987-03-05,29,"Medium / High",90
"1480",1480,"Koo Ja Cheol","Korea Republic",2015-08-31,2017,76,183,"Right",1989-02-27,27,"Medium / Medium",77
"1481",1481,"Marcelo Martins","Bolivia",2015-02-20,2017,76,187,"Right",1987-06-18,29,"Medium / Medium",82
"1482",1482,"Albin Ekdal","Sweden",2015-07-18,2019,76,186,"Right",1989-07-28,27,"High / Medium",75
"1483",1483,"Rhodolfo","Brazil",2015-07-24,2018,76,193,"Right",1986-08-11,30,"Medium / High",84
"1484",1484,"Luisinho","Portugal",2013-08-13,2018,76,175,"Left",1985-05-05,31,"High / Medium",62
"1485",1485,"Dejan Damjanovic","Montenegro",2015-12-28,2017,76,187,"Right",1981-07-27,35,"High / Low",81
"1486",1486,"Eren Derdiyok","Switzerland",2016-08-05,2019,76,191,"Right",1988-06-12,28,"Medium / Medium",92
"1487",1487,"Thomas Kraft","Germany",2011-07-01,2017,76,187,"Right",1988-07-22,28,"Medium / Medium",78
"1488",1488,"Damien Da Silva","France",2014-06-26,2018,76,184,"Right",1988-05-17,28,"Medium / Medium",82
"1489",1489,"Emiliano Insúa","Argentina",2015-07-11,2018,76,180,"Left",1989-01-07,27,"High / Medium",79
"1490",1490,"Pablo Hernández","Spain",2017-01-09,2017,76,173,"Right",1985-04-11,31,"Medium / Medium",72
"1491",1491,"Miralem Sulejmani","Serbia",2015-06-10,2018,76,178,"Left",1988-12-05,28,"Medium / Medium",73
"1492",1492,"Marko Marin","Germany",2016-08-23,2019,76,170,"Right",1989-03-13,27,"High / Low",64
"1493",1493,"Adrián González","Spain",2015-08-19,2018,76,183,"Left",1988-05-25,28,"High / Medium",76
"1494",1494,"Erik Pieters","Netherlands",2013-07-01,2020,76,182,"Left",1988-08-07,28,"Medium / Medium",86
"1495",1495,"Papa Kouli Diop","Senegal",2015-08-31,2018,76,179,"Right",1986-03-19,30,"Medium / Medium",77
"1496",1496,"Sergio Sánchez","Spain",2016-07-01,2018,76,185,"Right",1986-04-03,30,"Medium / Medium",76
"1497",1497,"Granero","Spain",2014-07-28,2018,76,180,"Right",1987-07-02,29,"Medium / Medium",75
"1498",1498,"Lucas Deaux","France",2016-07-01,2019,76,188,"Right",1988-12-26,28,"Medium / High",72
"1499",1499,"Sidney Sam","Germany",2014-07-01,2018,76,174,"Left",1988-01-31,28,"Medium / Low",71
"1500",1500,"Martin Harnik","Austria",2016-07-18,2019,76,186,"Right",1987-06-10,29,"High / Medium",80
"1501",1501,"Nabil Dirar","Morocco",2012-01-31,2018,76,187,"Right",1986-02-25,30,"Medium / Medium",82
"1502",1502,"Ludovic Baal","France",2015-06-12,2019,76,176,"Left",1986-05-24,30,"High / Medium",75
"1503",1503,"Bojan Jokic","Slovenia",2017-02-21,2018,76,176,"Left",1986-05-17,30,"Medium / Medium",75
"1504",1504,"Fabian Lustenberger","Switzerland",2007-08-08,2019,76,180,"Right",1988-05-02,28,"Medium / High",70
"1505",1505,"Stefan Aigner","Germany",2016-07-30,2020,76,183,"Right",1987-08-20,29,"Medium / Medium",73
"1506",1506,"Andreas Beck","Germany",2015-07-04,2018,76,180,"Right",1987-03-13,29,"High / High",74
"1507",1507,"Simone Missiroli","Italy",2012-01-01,2020,76,191,"Right",1986-05-23,30,"Medium / Medium",77
"1508",1508,"Yeom Ki Hun","Korea Republic",2010-01-01,2018,76,182,"Left",1983-03-30,33,"Medium / Medium",78
"1509",1509,"Jozy Altidore","United States",2015-01-16,2019,76,183,"Right",1989-11-06,27,"Medium / Low",79
"1510",1510,"Jelle Vossen","Belgium",2015-08-31,2020,76,180,"Right",1989-03-22,27,"High / High",73
"1511",1511,"Sacha Kljestan","United States",2015-01-28,2018,76,185,"Right",1985-09-09,31,"Medium / High",77
"1512",1512,"Sven Kums","Belgium",2016-08-29,2021,76,175,"Right",1988-02-26,28,"Medium / High",69
"1513",1513,"Cristian Riveros","Paraguay",2015-02-06,2017,76,178,"Right",1982-10-16,34,"Medium / Medium",74
"1514",1514,"Gonzalo Castro","Uruguay",2016-01-06,2018,76,176,"Left",1984-09-14,32,"High / Low",70
"1515",1515,"Adrián","Spain",2014-07-12,2019,76,183,"Right",1988-01-08,28,"Medium / Medium",73
"1516",1516,"Joselu","Spain",2015-07-01,2019,76,192,"Right",1990-03-27,26,"Medium / Medium",80
"1517",1517,"James Tomkins","England",2016-07-05,2021,76,192,"Right",1989-03-29,27,"Medium / Medium",74
"1518",1518,"Siqueira","Brazil",2014-07-02,2018,76,183,"Left",1986-04-28,30,"High / Medium",76
"1519",1519,"Luca Cigarini","Italy",2016-07-20,2019,76,175,"Right",1986-06-20,30,"Medium / Medium",74
"1520",1520,"Keiren Westwood","Republic Of Ireland",2014-07-07,2019,76,188,"Left",1984-10-23,32,"Medium / Medium",86
"1521",1521,"Jonas Lössl","Denmark",2016-07-01,2019,76,195,"Right",1989-02-01,27,"Medium / Medium",88
"1522",1522,"Mikel Gonzalez","Spain",2005-09-01,2017,76,190,"Right",1985-09-24,31,"Medium / Medium",79
"1523",1523,"Paul Aguilar","Mexico",2011-07-01,2019,76,180,"Right",1986-03-06,30,"High / High",67
"1524",1524,"Aythami Artiles","Spain",2013-08-23,2021,76,184,"Right",1986-04-02,30,"High / Medium",78
"1525",1525,"Andrey Eschenko","Russia",2016-06-16,2023,76,176,"Right",1984-02-09,32,"High / Medium",74
"1526",1526,"Lorenzo De Silvestri","Italy",2016-08-18,2020,76,186,"Right",1988-05-23,28,"High / Medium",84
"1527",1527,"Tarik Elyounoussi","Norway",2016-08-26,2018,76,172,"Right",1988-02-23,28,"High / Medium",66
"1528",1528,"Scott Sinclair","England",2016-08-07,2020,76,173,"Right",1989-03-25,27,"High / Medium",63
"1529",1529,"Andrea Masiello","Italy",2011-07-26,2018,76,184,"Right",1986-02-05,30,"Medium / Medium",82
"1530",1530,"Danijel Milicevic","Bosnia Herzegovina",2014-01-15,2019,76,170,"Right",1986-01-05,30,"Medium / Medium",63
"1531",1531,"Hugo Rodallega","Colombia",2017-01-24,2019,75,181,"Right",1985-07-25,31,"High / Low",72
"1532",1532,"Roman Shishkin","Russia",2010-07-06,2017,76,176,"Right",1987-01-27,29,"Medium / Medium",73
"1533",1533,"Mikhail Kerzhakov","Russia",2015-07-01,2019,76,191,"Right",1987-01-28,29,"Medium / Medium",82
"1534",1534,"Alan Kasaev","Russia",2014-07-01,2019,76,174,"Right",1986-04-08,30,"High / Medium",76
"1535",1535,"Brad Jones","Australia",2016-07-08,2017,76,194,"Left",1982-03-19,34,"Medium / Medium",76
"1536",1536,"Doka Na","Brazil",2011-07-31,2017,76,178,"Right",1984-12-11,32,"High / Low",70
"1537",1537,"Mariano Izco","Argentina",2014-07-31,2017,76,180,"Right",1983-03-13,33,"Medium / High",77
"1538",1538,"Lior Refaelov","Israel",2011-07-01,2019,76,175,"Right",1986-04-26,30,"Medium / Low",70
"1539",1539,"Caio","Brazil",2013-07-29,2018,76,186,"Right",1986-05-29,30,"Medium / Low",85
"1540",1540,"Eduardo","Portugal",2016-09-02,2017,76,188,"Right",1982-09-19,34,"Medium / Medium",86
"1541",1541,"Julien Féret","France",2014-06-16,2017,76,187,"Right",1982-07-05,34,"High / Medium",76
"1542",1542,"Stéphane Sessègnon","Benin",2016-09-26,2018,76,168,"Right",1984-06-01,32,"Medium / Medium",75
"1543",1543,"Jonathan Orozco","Mexico",2017-01-01,2018,76,184,"Right",1986-05-12,30,"Medium / Medium",79
"1544",1544,"Rolando Na","Portugal",2015-08-31,2018,76,189,"Right",1985-08-31,31,"Low / Medium",77
"1545",1545,"James Morrison","Scotland",2007-08-01,2018,76,178,"Right",1986-05-25,30,"Medium / Medium",64
"1546",1546,"Marvin Matip","Cameroon",2010-08-01,2018,76,184,"Right",1985-09-25,31,"Medium / Medium",83
"1547",1547,"Néstor Ortigoza","Paraguay",2011-02-04,2017,76,180,"Right",1984-10-07,32,"Medium / Low",78
"1548",1548,"Jesús Gámez","Spain",2016-07-08,2018,76,182,"Right",1985-04-10,31,"Medium / Medium",77
"1549",1549,"Abraham","Spain",2016-07-01,2022,76,178,"Right",1985-07-16,31,"Medium / Medium",80
"1550",1550,"Trashorras","Spain",2011-08-01,2019,76,179,"Right",1981-02-28,35,"Medium / Medium",71
"1551",1551,"Julio Alberto","Argentina",2013-12-25,2018,76,175,"Right",1985-01-16,31,"Medium / High",71
"1552",1552,"Pirmin Schwegler","Switzerland",2014-07-01,2017,76,178,"Right",1987-03-09,29,"Medium / Medium",74
"1553",1553,"Oribe Peralta","Mexico",2014-05-13,2021,76,179,"Right",1984-01-12,32,"High / Medium",75
"1554",1554,"Gelson Fernandes","Switzerland",2014-08-05,2018,76,179,"Right",1986-09-02,30,"Medium / High",70
"1555",1555,"Aaron Hunt","Germany",2015-08-31,2018,76,183,"Left",1986-09-04,30,"Medium / Medium",73
"1556",1556,"Mounir Obbadi","Morocco",2017-01-31,2017,76,172,"Right",1983-04-04,33,"Medium / Medium",65
"1557",1557,"Guillaume Hoarau","France",2014-08-30,2018,76,192,"Right",1984-03-05,32,"Medium / Low",80
"1558",1558,"José De Jesús Corona","Mexico",2009-01-01,2022,76,184,"Right",1981-01-26,35,"Medium / Medium",84
"1559",1559,"Charlie Adam","Scotland",2012-08-31,2017,76,185,"Left",1985-12-10,31,"Medium / Low",82
"1560",1560,"Alexandr Belenov","Russia",2017-02-22,2017,76,197,"Right",1986-09-13,30,"Medium / Medium",91
"1561",1561,"Àngel Rangel","Spain",2007-07-01,2017,76,180,"Right",1982-10-28,34,"Medium / Medium",82
"1562",1562,"Jean-Louis Leca","France",2013-07-19,2019,76,180,"Right",1985-09-21,31,"Medium / Medium",75
"1563",1563,"Rubens Sambueza","Argentina",2016-12-30,2020,76,174,"Left",1984-01-01,33,"High / Medium",74
"1564",1564,"Jason Puncheon","England",2014-01-31,2018,76,173,"Left",1986-06-26,30,"Medium / Medium",71
"1565",1565,"Jaroslav Drobný","Czech Republic",2016-07-01,2017,76,192,"Right",1979-10-18,37,"Medium / Medium",90
"1566",1566,"Wes Hoolahan","Republic Of Ireland",2008-06-26,2018,76,168,"Left",1982-05-20,34,"High / Low",71
"1567",1567,"Vladimir Gabulov","Russia",2017-01-25,2018,76,190,"Right",1983-10-19,33,"Medium / Medium",83
"1568",1568,"Diego Castro","Spain",2015-08-06,2017,76,174,"Right",1982-07-02,34,"Medium / Medium",71
"1569",1569,"Cejudo","Spain",2014-08-11,2017,76,180,"Right",1984-01-29,32,"High / Medium",78
"1570",1570,"Andrés Fernández","Spain",2014-07-30,2018,76,184,"Right",1986-12-16,30,"Medium / Medium",86
"1571",1571,"Yalçin Ayhan","Turkey",2014-08-04,2018,76,192,"Right",1982-05-01,34,"Low / High",82
"1572",1572,"Boštjan Cesar","Slovenia",2010-07-01,2018,76,191,"Left",1982-07-09,34,"Low / Medium",89
"1573",1573,"Leonardo Ponzio","Argentina",2012-01-01,2018,76,174,"Right",1982-01-29,34,"Medium / High",71
"1574",1574,"Alejandro Domínguez","Argentina",2013-07-04,2017,76,175,"Right",1981-06-10,35,"High / Low",73
"1575",1575,"Darren Fletcher","Scotland",2015-02-02,2017,76,184,"Right",1984-02-01,32,"Medium / High",74
"1576",1576,"Marc Janko","Austria",2015-06-25,2017,75,196,"Left",1983-06-25,33,"Medium / Medium",93
"1577",1577,"Marco Storari","Italy",2017-01-11,2017,76,187,"Right",1977-01-07,39,"Medium / Medium",76
"1578",1578,"Daniele Gastaldello","Italy",2015-02-02,2018,76,185,"Right",1983-06-25,33,"High / Medium",77
"1579",1579,"Giampaolo Pazzini","Italy",2015-07-11,2020,76,180,"Right",1984-08-02,32,"Medium / Medium",77
"1580",1580,"Franco Brienza","Italy",2016-08-30,2018,76,168,"Left",1979-03-19,37,"Medium / Medium",68
"1581",1581,"Stijn Schaars","Netherlands",2016-07-25,2018,76,178,"Left",1984-01-11,32,"Medium / Medium",76
"1582",1582,"Alexis","Spain",2016-07-29,2018,76,183,"Right",1985-08-04,31,"Medium / Medium",75
"1583",1583,"Hasan Ali Kaldirim","Turkey",2012-07-01,2017,76,183,"Left",1989-12-09,27,"High / High",75
"1584",1584,"Ersan Gülüm","Turkey",2016-02-08,2019,76,185,"Left",1987-05-17,29,"Low / High",85
"1585",1585,"Marco Borriello","Italy",2016-08-03,2017,76,185,"Left",1982-06-18,34,"High / Medium",76
"1586",1586,"Kolo Touré","Ivory Coast",2016-07-24,2017,76,178,"Right",1981-03-19,35,"Medium / Medium",76
"1587",1587,"Achille Emaná","Cameroon",2017-01-01,2017,75,180,"Right",1982-06-05,34,"Medium / Low",77
"1588",1588,"Gareth Mcauley","Northern Ireland",2011-07-01,2017,76,195,"Right",1979-12-05,37,"Low / High",89
"1589",1589,"Artur Boruc","Poland",2015-07-01,2017,76,193,"Right",1980-02-20,36,"Medium / Medium",87
"1590",1590,"Alberto Aquilani","Italy",2016-08-26,2019,76,186,"Right",1984-07-07,32,"Medium / Medium",79
"1591",1591,"Wayne Routledge","England",2011-08-01,2019,76,170,"Right",1985-01-07,31,"Medium / Medium",77
"1592",1592,"Matthias Lehmann","Germany",2012-07-01,2018,76,179,"Right",1983-05-28,33,"Medium / High",75
"1593",1593,"Steven Pienaar","South Africa",2016-08-19,2017,76,170,"Right",1982-03-17,34,"High / Medium",66
"1594",1594,"Ludovic Butelle","France",2016-01-01,2018,76,190,"Left",1983-04-03,33,"Medium / Medium",86
"1595",1595,"Emiliano Moretti","Italy",2013-07-11,2017,76,182,"Left",1981-06-11,35,"Medium / Medium",79
"1596",1596,"Jonas Olsson","Sweden",2017-03-23,2019,76,193,"Left",1983-03-10,33,"Medium / Medium",84
"1597",1597,"James Collins","Wales",2012-08-01,2018,76,193,"Right",1983-08-23,33,"Low / High",90
"1598",1598,"Nick Rimando","United States",2007-01-01,2018,76,178,"Right",1979-06-17,37,"Medium / Medium",83
"1599",1599,"Dario Dainelli","Italy",2012-08-01,2017,76,191,"Right",1979-06-09,37,"Low / High",78
"1600",1600,"Maarten Stekelenburg","Netherlands",2016-07-04,2019,76,197,"Right",1982-09-22,34,"Medium / Medium",92
"1601",1601,"Paolo Cannavaro","Italy",2014-07-01,2017,76,185,"Right",1981-06-26,35,"Low / High",83
"1602",1602,"Carlos Soler","Spain",2015-07-01,2018,75,183,"Right",1997-01-02,19,"Medium / Medium",72
"1603",1603,"Raphinha","Brazil",2016-02-01,2020,75,176,"Left",1996-12-14,20,"High / Medium",66
"1604",1604,"Mikel Villanueva","Venezuela",2016-07-01,2019,75,190,"Left",1993-04-14,23,"Low / High",78
"1605",1605,"Federico Ricca","Uruguay",2016-02-01,2020,75,179,"Left",1994-12-01,22,"High / Medium",72
"1606",1606,"Maurício António","Brazil",2016-02-01,2019,75,183,"Right",1992-02-06,24,"Medium / Medium",82
"1607",1607,"Adalberto Peñaranda","Venezuela",2016-02-02,2017,75,183,"Right",1997-05-31,19,"High / Medium",78
